APELLIDOS,TOTAL
SAGASTIZADO,834
PARRAS,833
OLIVO,829
CUATRO,828
JARQUIN,827
MAEDA,824
PUENTE,823
SALAMA,820
BARDALES,819
OPORTO,818
PORTAL,816
VINDEL,812
CAÑADA,812
PASTORA,811
HEREDIA,809
REALES,805
MONCHEZ,804
CORONA,799
CONSTANTE,799
MALDINERA,798
GABRIEL,790
ALVAYERO,790
BUENDIA,789
COMAYAGUA,786
NAVES,781
SINTIGO,780
MATOZO,773
CONSUEGRA,771
SEVILLANO,769
ALVARES,766
PUENTES,765
PULUNTO,764
ROSAS,764
MOSCOSO,762
TOMASINO,761
CAPACHO,761
CAISHPAL,757
ZUMBA,757
EVANGELISTA,756
ELENA,756
ARISTONDO,753
MARCIA,750
PAULINO,749
NATIVI,749
ORREGO,748
ZAMBRANO,748
MANZANAREZ,747
TESHE,747
JERONIMO,735
SEGUNDO,735
DE JESUS,727
ZARPATE,724
CARRERO,724
ARROYO,723
MONTECINOS,723
PRIVADO,720
GUINEA,718
CEVALLOS,717
GARMENDIA,715
DELCID,713
LEAL,712
CHILIN,712
CORCIO,710
TREJOS,710
PINZON,710
LOARCA,702
MAGARIN,701
RUBI,700
MARTELL,691
PAULA,689
ZARCO,688
ESCALON,687
MEJICANOS,683
CARAVANTES,682
TAMAYO,681
LEONARDO,679
DORADEA,677
CULGUA,673
SOLIZ,672
TULA,671
REYNOSA,670
MUSTO,669
CERRATO,667
URBANO,667
DIAS,665
SALAVERRIA,664
SION,662
GONGORA,658
FONSECA,658
ROMANO,656
LICO,652
OLANO,652
BONITO,651
AXUME,651
TELULE,649
OBANDO,649
ALMENDARES,649
ZELIDON,647
VIOLANTE,645
ZABALA,644
VILLAFRANCO,639
BERGANZA,638
PERDIDO,632
MUSUN,629
TELLES,628
GREGORIO,627
GALO,627
LATIN,626
ALBANES,626
REYMUNDO,625
CRIOLLO,624
MELGARES,620
RUBALLOS,615
URQUIA,613
CALIXTO,610
TEOS,609
ASUNCION,609
BERDUGO,609
TAMACAS,607
CASTELLANO,606
NIÑO,605
BENITO,603
PATIÑO,601
ALBANEZ,599
SIXCO,599
NARVAEZ,597
VALDIZON,596
GAVARRETE,596
CELIS,595
QUILIZAPA,594
URIBE,592
HASBUN,591
REINOZA,589
SARCEÑO,586
SHUL,584
GENOVEZ,582
DUQUE,579
BELTRANENA,579
BOLAINEZ,577
BAYONA,576
HERRARTE,575
MONTESINOS,572
ARCIA,572
MONTECINO,571
BAILON,570
ROVIRA,569
BRIOSO,568
GARZONA,568
SOL,567
ESTEBAN,567
ALBEÑO,567
ANDRADES,566
FAUSTINO,564
CORCIOS,564
BAIZA,564
ALVANEZ,562
BERNARDINO,551
PABLO,549
CHAMAGUA,549
MEJICANO,548
ARTOLA,546
ARAUZ,546
CHANTA,543
SOTELO,543
OLMOS,542
VAQUIZ,541
ARGUELLO,537
AZENON,533
MELCHOR,532
MALIA,531
AGUSTIN,531
LIZANO,531
SILVESTRE,527
SAMBRANO,527
CALIDONIO,526
MATIAS,520
RAMIRES,518
ZAÑA,517
MIXCO,516
OVANDO,516
SAÑAS,512
VILLAVICENCIO,511
MUNTO,509
DOÑO,507
LAZARO,506
NATIVIDAD,506
GRANADINO,506
TIZNADO,505
MOZA,504
DAMAS,503
OCOTAN,501
BERCIAN,499
PAIS,498
CUSTODIO,494
GERMAN,493
SARACAY,493
VALLECILLOS,492
NICIA,491
RAFAELANO,489
GRIMALDI,485
ROCHAC,485
CUCUFATE,484
ARTIAGA,484
MACAL,483
ZACARIAS,482
ACEITUNO,482
CALVO,481
AMBROCIO,480
OPICO,480
CONDE,480
INOCENTE,477
BLANDON,474
CUCHILLA,474
BALCACERES,470
PIECHO,469
ARENIVAR,468
CATIVO,467
MULATILLO,467
ARREAGA,465
CUESTAS,464
ZULETA,463
GARCIAGUIRRE,461
PORTALES,460
MERCEDES,459
BERMUDES,459
DIEGO,455
MILLA,454
AGUILERO,453
MERCHE,453
DE LA ROSA,453
SHUPAN,451
DOÑAN,450
MONTEJO,450
PASCASIO,449
MOISES,448
NATAREN,447
LAINES,446
VALLECIOS,443
LABOR,443
GARZA,441
PRESIDENTE,440
SUNCIN,436
CRISOSTOMO,436
DONIS,435
CANTADERIO,433
